German,English,Example 1 (DE),Example 1 (EN),Example 2 (DE),Example 2 (EN)
auswendig lernen,"to learn by heart, to memorize",Der Schüler hat sein Vortrag auswendig gelernt.,The student has learned his speech by heart.,Ich muss mein Gedicht für die Prüfung auswendig lernen.,I need to memorize my poem for the exam
das Verständnis,understanding,Der Lehrer erwartet von den Schülern ein hohes Maß an Verständnis für die komplexe Materie.,The teacher expects the students to have a high level of understanding for the complex subject matter.,"Ich habe das Problem nicht, aber ich verstehe nicht, warum mein Freund so besorgt ist.","I don't have the problem, but I don't understand why my friend is so worried."
demnach,"therefore, thus, consequently","Demnach ist es nicht möglich, den Termin zu ändern.",Therefore it is not possible to change the date.,"Ich bin müde, demnach gehe ich jetzt schlafen.","I am tired, therefore I'm going to sleep now."
demzufolge,"therefore, consequently","Der Unfall war nicht die Schuld des Autofahrers, demzufolge wurde er freigesprochen.","The accident was not the driver's fault, so he was acquitted.","Ich bin müde, demzufolge gehe ich jetzt ins Bett.","I'm tired, therefore I'm going to bed now."
der Sinn,"sense, meaning",Der Text hat einen tieferen Sinn als man zunächst denkt.,The text has a deeper meaning than one initially thinks.,Was ist der Sinn dieser Party?,What's the point of this party?
"derart(ig) ..., dass",to such an extent that,"Die Wetterbedingungen waren derart schlecht, dass wir den Spaziergang abgesagt haben.",The weather conditions were so bad that we had to cancel the walk.,"Mein Bruder ist derart faul, dass er nie aufstehen will.",My brother is so lazy that he never wants to get up.
die Erkenntnis,"the realization, insight","Die Wissenschaftler kamen zu der Erkenntnis, dass das Universum sehr alt ist.",The scientists came to the realization that the universe is very old.,"Ich hatte die Erkenntnis, dass ich mich geirrt habe, als ich sah, wie sich alles entwickelte.",I had the insight that I was wrong when I saw how everything developed.
die Erkenntnistheorie,theory of knowledge,Die Philosophie der Erkenntnistheorie ist ein wichtiger Teil der akademischen Ausbildung.,The philosophy of the theory of knowledge is an important part of academic education.,"Ich habe mich für die Erkenntnistheorie entschieden, weil ich wissen will, wie wir Wissen erlangen.",I have chosen the theory of knowledge because I want to know how we acquire knowledge.
die Offenheit,openness,Die Firma wertet die Offenheit ihrer Mitarbeiter sehr hoch ein.,The company highly values the openness of its employees.,"Ich liebe die Offenheit der Stadt, es ist so leicht sich zurechtzufinden.","I love the openness of the city, it's so easy to get around."
die Praxis,"practice, experience",Der Arzt hat viele Jahre lang in der Praxis gearbeitet.,The doctor has worked in practice for many years.,Ich habe viel Erfahrung durch meine Praxis gesammelt.,I have collected a lot of experience through my practice.
die Theorie,theory,Die Wissenschaftler haben eine neue Theorie vorgestellt.,The scientists have presented a new theory.,"Ich habe mich in der Theorie des Films geirrt, aber im Film selbst war es anders.","I was mistaken about the film's theory, but it was different in the actual film."
die Vernunft,"reason, rationality",Die Vernunft ist der beste Ratgeber in schwierigen Situationen.,Reason is the best advisor in difficult situations.,Ich verlasse mich auf meine Vernunft und mache keine impulsive Entscheidung.,I rely on my reason and don't make any impulsive decisions.
